"","First","Second","p","weight"
"TESTOxANTI_ANDROGENS","TESTO","ANTI_ANDROGENS",0.6416,1442
"TESTOxGLUCOCORTICOID","TESTO","GLUCOCORTICOID",0.5914,2007
"TESTOxGONADOTROPIN","TESTO","GONADOTROPIN",0.6551,1911
"TESTOxBISPHOSPHONATE","TESTO","BISPHOSPHONATE",0.6073,1252
"TESTOxCORTICOSTEROID","TESTO","CORTICOSTEROID",0.6584,1507.33333333333
"TESTOxIMIDAZOLE","TESTO","IMIDAZOLE",0.5611,1096
"TESTOxACE_INHIBITORS","TESTO","ACE_INHIBITORS",0.4673,2536.66666666667
"TESTOxBETA_BLOCKING","TESTO","BETA_BLOCKING",0.5026,2652
"TESTOxHMG_COA_REDUCT","TESTO","HMG_COA_REDUCT",0.2908,2687.33333333333
"TESTOxESTROGENS","TESTO","ESTROGENS",0.5883,1608
"TESTOxANTI_ESTROGENS","TESTO","ANTI_ESTROGENS",0.5501,1431.66666666667
"TESTOxCEREBACC","TESTO","CEREBACC",0.3963,2281.66666666667
"TESTOxCHF","TESTO","CHF",0.4215,2224.33333333333
"TESTOxDVT","TESTO","DVT",0.5848,1870.33333333333
"TESTOxDIAB","TESTO","DIAB",0.5174,1506
"TESTOxMI","TESTO","MI",0.4511,1040.33333333333
"TESTOxPULMEMB","TESTO","PULMEMB",0.2166,2128
"TESTOxSPINCOMP","TESTO","SPINCOMP",0.1218,2457
"TESTOxCOPD","TESTO","COPD",0.7655,2539.66666666667
"TESTOxMHBLOOD","TESTO","MHBLOOD",0.5275,1213.66666666667
"TESTOxMHCARD","TESTO","MHCARD",0.6144,2641.66666666667
"TESTOxMHCONGEN","TESTO","MHCONGEN",0.4566,1921.33333333333
"TESTOxMHEAR","TESTO","MHEAR",0.784,2241
"TESTOxMHENDO","TESTO","MHENDO",0.8166,1667.33333333333
"TESTOxMHGASTRO","TESTO","MHGASTRO",0.4273,2610
"TESTOxMHHEPATO","TESTO","MHHEPATO",0.566,1246.66666666667
"TESTOxMHIMMUNE","TESTO","MHIMMUNE",0.3786,2026
"TESTOxMHINFECT","TESTO","MHINFECT",0.5368,1761
"TESTOxMHINJURY","TESTO","MHINJURY",0.2652,2373.33333333333
"TESTOxMHINVEST","TESTO","MHINVEST",0.7185,859
"TESTOxMHMETAB","TESTO","MHMETAB",0.6289,2134
"TESTOxMHPSYCH","TESTO","MHPSYCH",0.0942,2688.33333333333
"TESTOxMHRENAL","TESTO","MHRENAL",0.2307,2999.66666666667
"TESTOxMHRESP","TESTO","MHRESP",0.4687,2076.33333333333
"TESTOxMHSKIN","TESTO","MHSKIN",0.4264,2299.33333333333
"TESTOxMHVASC","TESTO","MHVASC",0.6544,1266
"TESTOxECOG_C","TESTO","ECOG_C",0.2837,1876.66666666667
"TESTOxRaceAsian","TESTO","RaceAsian",0.4654,1433
"TESTOxRaceBlack","TESTO","RaceBlack",0.5122,2882.66666666667
"TESTOxRaceOther","TESTO","RaceOther",0.7347,866
"TESTOxRaceWhite","TESTO","RaceWhite",0.5577,1485.33333333333
"TESTOxRegionAsia","TESTO","RegionAsia",1,445.166666666667
"TESTOxRegionEastEuro","TESTO","RegionEastEuro",0.4139,1897.66666666667
"TESTOxRegionNorthAmer","TESTO","RegionNorthAmer",0.7062,2082.33333333333
"TESTOxRegionSouthAmer","TESTO","RegionSouthAmer",0.5383,1883.66666666667
"TESTOxRegionWestEuro","TESTO","RegionWestEuro",0.4799,2228.66666666667
"WBCxTARGET","WBC","TARGET",0.0083,3047
"WBCxLYMPH_NODES","WBC","LYMPH_NODES",0.1994,1841.66666666667
"WBCxKIDNEYS","WBC","KIDNEYS",0.5628,936.666666666667
"WBCxLUNGS","WBC","LUNGS",0.3267,1969.33333333333
"WBCxLIVER","WBC","LIVER",0,3240.66666666667
"WBCxPLEURA","WBC","PLEURA",0.1963,2481.66666666667
"WBCxOTHER","WBC","OTHER",0.6508,1438.5
"WBCxPROSTATE","WBC","PROSTATE",0.6756,1663.5
"WBCxORCHIDECTOMY","WBC","ORCHIDECTOMY",0.6353,1692
"WBCxPROSTATECTOMY","WBC","PROSTATECTOMY",0.5482,2183.66666666667
"WBCxLYMPHADENECTOMY","WBC","LYMPHADENECTOMY",0.595,1722.33333333333
"WBCxBILATERAL_ORCHIDECTOMY","WBC","BILATERAL_ORCHIDECTOMY",0.5316,1348.83333333333
"WBCxPRIOR_RADIOTHERAPY","WBC","PRIOR_RADIOTHERAPY",0.7043,1138.16666666667
"WBCxANALGESICS","WBC","ANALGESICS",5e-04,3152.66666666667
"WBCxANTI_ANDROGENS","WBC","ANTI_ANDROGENS",0.7227,674.833333333333
"WBCxGLUCOCORTICOID","WBC","GLUCOCORTICOID",0.6651,1565
"WBCxGONADOTROPIN","WBC","GONADOTROPIN",0.5214,2065.66666666667
"WBCxBISPHOSPHONATE","WBC","BISPHOSPHONATE",0.5133,2879.66666666667
"WBCxCORTICOSTEROID","WBC","CORTICOSTEROID",0.5638,983.166666666667
"WBCxIMIDAZOLE","WBC","IMIDAZOLE",0.5016,1365.66666666667
"WBCxACE_INHIBITORS","WBC","ACE_INHIBITORS",0.2068,2351.33333333333
"WBCxBETA_BLOCKING","WBC","BETA_BLOCKING",0.7391,1276.66666666667
"WBCxHMG_COA_REDUCT","WBC","HMG_COA_REDUCT",0.7221,1706.66666666667
"WBCxESTROGENS","WBC","ESTROGENS",0.5,1698.33333333333
"WBCxANTI_ESTROGENS","WBC","ANTI_ESTROGENS",0.532,1748.66666666667
"WBCxCEREBACC","WBC","CEREBACC",0.6766,1037.16666666667
"WBCxCHF","WBC","CHF",0.3663,2550
"WBCxDVT","WBC","DVT",0.683,2315.66666666667
"WBCxDIAB","WBC","DIAB",0.6174,893.166666666667
"WBCxMI","WBC","MI",0.1368,1250.5
"WBCxPULMEMB","WBC","PULMEMB",0.2116,1981.83333333333
"WBCxSPINCOMP","WBC","SPINCOMP",0.5564,1640.66666666667
"WBCxCOPD","WBC","COPD",0.7141,1504.66666666667
"WBCxMHBLOOD","WBC","MHBLOOD",0.7185,1120.66666666667
"WBCxMHCARD","WBC","MHCARD",0.1437,2331
"WBCxMHCONGEN","WBC","MHCONGEN",0.5938,907.833333333333
"WBCxMHEAR","WBC","MHEAR",0.6825,1266.66666666667
"WBCxMHENDO","WBC","MHENDO",0.6365,1382
"WBCxMHGASTRO","WBC","MHGASTRO",0.6553,1156.16666666667
"WBCxMHHEPATO","WBC","MHHEPATO",0.7441,1259.66666666667
"WBCxMHIMMUNE","WBC","MHIMMUNE",0.8506,1312
"WBCxMHINFECT","WBC","MHINFECT",0.6474,1903
"WBCxMHINJURY","WBC","MHINJURY",0.7233,2179
"WBCxMHINVEST","WBC","MHINVEST",0.7192,1754
"WBCxMHMETAB","WBC","MHMETAB",0.599,718
"WBCxMHPSYCH","WBC","MHPSYCH",0.1479,2147.33333333333
"WBCxMHRENAL","WBC","MHRENAL",0.6762,1684
"WBCxMHRESP","WBC","MHRESP",0.4763,2048.33333333333
"WBCxMHSKIN","WBC","MHSKIN",0.7152,1068
"WBCxMHVASC","WBC","MHVASC",0.2504,1502.83333333333
"WBCxECOG_C","WBC","ECOG_C",4e-04,2839.66666666667
"WBCxRaceAsian","WBC","RaceAsian",0.561,1454.33333333333
"WBCxRaceBlack","WBC","RaceBlack",0.6652,498.5
"WBCxRaceOther","WBC","RaceOther",0.6526,802.666666666667
"WBCxRaceWhite","WBC","RaceWhite",0.5872,819.833333333333
"WBCxRegionAsia","WBC","RegionAsia",1,445.166666666667
"WBCxRegionEastEuro","WBC","RegionEastEuro",0.0969,2721
"WBCxRegionNorthAmer","WBC","RegionNorthAmer",0.4452,2388
"WBCxRegionSouthAmer","WBC","RegionSouthAmer",0.6238,1985.33333333333
"WBCxRegionWestEuro","WBC","RegionWestEuro",0.5958,1347.33333333333
"CREACLxTARGET","CREACL","TARGET",0.0242,2871.33333333333
"CREACLxLYMPH_NODES","CREACL","LYMPH_NODES",0.2868,1620
"CREACLxKIDNEYS","CREACL","KIDNEYS",0.5966,700.166666666667
"CREACLxLUNGS","CREACL","LUNGS",0.3983,1028.16666666667
"CREACLxLIVER","CREACL","LIVER",7e-04,3097.33333333333
"CREACLxPLEURA","CREACL","PLEURA",0.2415,2145
"CREACLxOTHER","CREACL","OTHER",0.671,1088.66666666667
"CREACLxPROSTATE","CREACL","PROSTATE",0.6954,723.5
"CREACLxORCHIDECTOMY","CREACL","ORCHIDECTOMY",0.6686,1362.16666666667
"CREACLxPROSTATECTOMY","CREACL","PROSTATECTOMY",0.5441,1856.33333333333
"CREACLxLYMPHADENECTOMY","CREACL","LYMPHADENECTOMY",0.6205,572.5
"CREACLxBILATERAL_ORCHIDECTOMY","CREACL","BILATERAL_ORCHIDECTOMY",0.5846,887.666666666667
"CREACLxPRIOR_RADIOTHERAPY","CREACL","PRIOR_RADIOTHERAPY",0.7,1203.16666666667
"CREACLxANALGESICS","CREACL","ANALGESICS",3e-04,2404.66666666667
"CREACLxANTI_ANDROGENS","CREACL","ANTI_ANDROGENS",0.6769,445.166666666667
"CREACLxGLUCOCORTICOID","CREACL","GLUCOCORTICOID",0.6792,1040.83333333333
"CREACLxGONADOTROPIN","CREACL","GONADOTROPIN",0.3663,1846.5
"CREACLxBISPHOSPHONATE","CREACL","BISPHOSPHONATE",0.6412,1527.33333333333
"CREACLxCORTICOSTEROID","CREACL","CORTICOSTEROID",0.5392,1798.33333333333
"CREACLxIMIDAZOLE","CREACL","IMIDAZOLE",0.5265,875.5
"CREACLxACE_INHIBITORS","CREACL","ACE_INHIBITORS",0.1205,2156.33333333333
"CREACLxBETA_BLOCKING","CREACL","BETA_BLOCKING",0.7246,613.166666666667
"CREACLxHMG_COA_REDUCT","CREACL","HMG_COA_REDUCT",0.7161,1233
"CREACLxESTROGENS","CREACL","ESTROGENS",0.404,2558
"CREACLxANTI_ESTROGENS","CREACL","ANTI_ESTROGENS",0.5375,1561.33333333333
"CREACLxCEREBACC","CREACL","CEREBACC",0.6399,1847.33333333333
"CREACLxCHF","CREACL","CHF",0.3712,2599.33333333333
"CREACLxDVT","CREACL","DVT",0.7394,1727.16666666667
"CREACLxDIAB","CREACL","DIAB",0.6313,812.5
"CREACLxMI","CREACL","MI",0.0665,2652.66666666667
"CREACLxPULMEMB","CREACL","PULMEMB",0.2382,1623.83333333333
"CREACLxSPINCOMP","CREACL","SPINCOMP",0.616,587.833333333333
"CREACLxCOPD","CREACL","COPD",0.7065,1555.33333333333
"CREACLxMHBLOOD","CREACL","MHBLOOD",0.6963,445.166666666667
"CREACLxMHCARD","CREACL","MHCARD",0.1371,2675.66666666667
"CREACLxMHCONGEN","CREACL","MHCONGEN",0.5615,819.833333333333
"CREACLxMHEAR","CREACL","MHEAR",0.6625,1564.66666666667
"CREACLxMHENDO","CREACL","MHENDO",0.4779,1965.33333333333
"CREACLxMHGASTRO","CREACL","MHGASTRO",0.6845,445.166666666667
"CREACLxMHHEPATO","CREACL","MHHEPATO",0.7366,911.833333333333
"CREACLxMHIMMUNE","CREACL","MHIMMUNE",0.8542,1640.33333333333
"CREACLxMHINFECT","CREACL","MHINFECT",0.6577,1761.66666666667
"CREACLxMHINJURY","CREACL","MHINJURY",0.7302,1368.83333333333
"CREACLxMHINVEST","CREACL","MHINVEST",0.7045,1071.16666666667
"CREACLxMHMETAB","CREACL","MHMETAB",0.6495,764.833333333333
"CREACLxMHPSYCH","CREACL","MHPSYCH",0.1861,1962.66666666667
"CREACLxMHRENAL","CREACL","MHRENAL",0.6756,878.666666666667
"CREACLxMHRESP","CREACL","MHRESP",0.4567,1584.33333333333
"CREACLxMHSKIN","CREACL","MHSKIN",0.7303,885.5
"CREACLxMHVASC","CREACL","MHVASC",0.1383,2301
"CREACLxECOG_C","CREACL","ECOG_C",7e-04,2921
"CREACLxRaceAsian","CREACL","RaceAsian",0.5543,1548
"CREACLxRaceBlack","CREACL","RaceBlack",0.7012,751.333333333333
"CREACLxRaceOther","CREACL","RaceOther",0.5175,1158.66666666667
"CREACLxRaceWhite","CREACL","RaceWhite",0.6674,901.5
"CREACLxRegionAsia","CREACL","RegionAsia",1,445.166666666667
"CREACLxRegionEastEuro","CREACL","RegionEastEuro",0.0583,2186.33333333333
"CREACLxRegionNorthAmer","CREACL","RegionNorthAmer",0.4776,1395
"CREACLxRegionSouthAmer","CREACL","RegionSouthAmer",0.6441,706.5
"CREACLxRegionWestEuro","CREACL","RegionWestEuro",0.5252,841.833333333333
"NA.xTARGET","NA.","TARGET",0.0179,2975.66666666667
"NA.xLYMPH_NODES","NA.","LYMPH_NODES",0.272,1698
"NA.xKIDNEYS","NA.","KIDNEYS",0.5948,842.5
"NA.xLUNGS","NA.","LUNGS",0.3842,1033.5
"NA.xLIVER","NA.","LIVER",5e-04,3146.33333333333
"NA.xPLEURA","NA.","PLEURA",0.2372,1831.66666666667
"NA.xOTHER","NA.","OTHER",0.6907,999.666666666667
"NA.xPROSTATE","NA.","PROSTATE",0.6904,726.5
"NA.xORCHIDECTOMY","NA.","ORCHIDECTOMY",0.6528,1351.5
"NA.xPROSTATECTOMY","NA.","PROSTATECTOMY",0.5358,1731.33333333333
"NA.xLYMPHADENECTOMY","NA.","LYMPHADENECTOMY",0.6221,496.166666666667
"NA.xBILATERAL_ORCHIDECTOMY","NA.","BILATERAL_ORCHIDECTOMY",0.5659,928.333333333333
"NA.xPRIOR_RADIOTHERAPY","NA.","PRIOR_RADIOTHERAPY",0.706,1283.16666666667
"NA.xANALGESICS","NA.","ANALGESICS",4e-04,2393
"NA.xANTI_ANDROGENS","NA.","ANTI_ANDROGENS",0.6856,530.833333333333
"NA.xGLUCOCORTICOID","NA.","GLUCOCORTICOID",0.6888,1342.33333333333
"NA.xGONADOTROPIN","NA.","GONADOTROPIN",0.3922,1816.5
"NA.xBISPHOSPHONATE","NA.","BISPHOSPHONATE",0.6323,1730.33333333333
"NA.xCORTICOSTEROID","NA.","CORTICOSTEROID",0.5493,1391.16666666667
"NA.xIMIDAZOLE","NA.","IMIDAZOLE",0.5173,894.166666666667
"NA.xACE_INHIBITORS","NA.","ACE_INHIBITORS",0.1266,2135.33333333333
"NA.xBETA_BLOCKING","NA.","BETA_BLOCKING",0.7254,636.833333333333
"NA.xHMG_COA_REDUCT","NA.","HMG_COA_REDUCT",0.7066,1622
"NA.xESTROGENS","NA.","ESTROGENS",0.4015,2603.33333333333
"NA.xANTI_ESTROGENS","NA.","ANTI_ESTROGENS",0.5534,1305.66666666667
"NA.xCEREBACC","NA.","CEREBACC",0.6369,1837.33333333333
"NA.xCHF","NA.","CHF",0.4006,2561.66666666667
"NA.xDVT","NA.","DVT",0.7417,1699.16666666667
"NA.xDIAB","NA.","DIAB",0.612,877.5
"NA.xMI","NA.","MI",0.0729,2622.66666666667
"NA.xPULMEMB","NA.","PULMEMB",0.2288,1717.16666666667
"NA.xSPINCOMP","NA.","SPINCOMP",0.6332,516.166666666667
"NA.xCOPD","NA.","COPD",0.708,1474.66666666667
"NA.xMHBLOOD","NA.","MHBLOOD",0.6845,663
"NA.xMHCARD","NA.","MHCARD",0.1219,2750.66666666667
"NA.xMHCONGEN","NA.","MHCONGEN",0.5556,1101.33333333333
"NA.xMHEAR","NA.","MHEAR",0.6592,1621.33333333333
"NA.xMHENDO","NA.","MHENDO",0.4983,1887.66666666667
"NA.xMHGASTRO","NA.","MHGASTRO",0.687,445.166666666667
"NA.xMHHEPATO","NA.","MHHEPATO",0.7292,1225
"NA.xMHIMMUNE","NA.","MHIMMUNE",0.8566,1616.33333333333
"NA.xMHINFECT","NA.","MHINFECT",0.6201,1675
"NA.xMHINJURY","NA.","MHINJURY",0.7314,1191.16666666667
"NA.xMHINVEST","NA.","MHINVEST",0.6961,1082.5
"NA.xMHMETAB","NA.","MHMETAB",0.6156,686.833333333333
"NA.xMHPSYCH","NA.","MHPSYCH",0.1566,2016
"NA.xMHRENAL","NA.","MHRENAL",0.6487,509.833333333333
"NA.xMHRESP","NA.","MHRESP",0.4124,1659.66666666667
"NA.xMHSKIN","NA.","MHSKIN",0.7208,540.166666666667
"NA.xMHVASC","NA.","MHVASC",0.1586,1894.66666666667
"NA.xECOG_C","NA.","ECOG_C",5e-04,2921
"NA.xRaceAsian","NA.","RaceAsian",0.5565,1424.66666666667
"NA.xRaceBlack","NA.","RaceBlack",0.7122,1080.66666666667
"NA.xRaceOther","NA.","RaceOther",0.4972,1222.33333333333
"NA.xRaceWhite","NA.","RaceWhite",0.6314,888.833333333333
"NA.xRegionAsia","NA.","RegionAsia",1,445.166666666667
"NA.xRegionEastEuro","NA.","RegionEastEuro",0.0529,2440.33333333333
"NA.xRegionNorthAmer","NA.","RegionNorthAmer",0.494,1613
"NA.xRegionSouthAmer","NA.","RegionSouthAmer",0.6436,800.166666666667
"NA.xRegionWestEuro","NA.","RegionWestEuro",0.5323,828.166666666667
"MGxTARGET","MG","TARGET",0.5175,2037.33333333333
"MGxLYMPH_NODES","MG","LYMPH_NODES",0.641,1864.33333333333
"MGxKIDNEYS","MG","KIDNEYS",0.4885,1650.83333333333
"MGxLUNGS","MG","LUNGS",0.7308,1204.5
"MGxLIVER","MG","LIVER",0.1804,2463.66666666667
"MGxPLEURA","MG","PLEURA",0.4762,2458.33333333333
"MGxOTHER","MG","OTHER",0.902,484.833333333333
"MGxPROSTATE","MG","PROSTATE",0.6549,676.5
"MGxORCHIDECTOMY","MG","ORCHIDECTOMY",0.6839,911
"MGxPROSTATECTOMY","MG","PROSTATECTOMY",0.6739,1561
"MGxLYMPHADENECTOMY","MG","LYMPHADENECTOMY",0.5564,2399.66666666667
"MGxBILATERAL_ORCHIDECTOMY","MG","BILATERAL_ORCHIDECTOMY",0.6706,880.333333333333
"MGxPRIOR_RADIOTHERAPY","MG","PRIOR_RADIOTHERAPY",0.4233,2886.66666666667
"MGxANALGESICS","MG","ANALGESICS",0.3134,1925.33333333333
"MGxANTI_ANDROGENS","MG","ANTI_ANDROGENS",0.5531,2087
"MGxGLUCOCORTICOID","MG","GLUCOCORTICOID",0.7364,1970.66666666667
"MGxGONADOTROPIN","MG","GONADOTROPIN",0.4535,2118.33333333333
"MGxBISPHOSPHONATE","MG","BISPHOSPHONATE",0.5706,2001.66666666667
"MGxCORTICOSTEROID","MG","CORTICOSTEROID",0.493,2445
"MGxIMIDAZOLE","MG","IMIDAZOLE",0.3305,2182.83333333333
"MGxACE_INHIBITORS","MG","ACE_INHIBITORS",0.6698,2091
"MGxBETA_BLOCKING","MG","BETA_BLOCKING",0.5128,2666.33333333333
"MGxHMG_COA_REDUCT","MG","HMG_COA_REDUCT",0.7475,2365.66666666667
"MGxESTROGENS","MG","ESTROGENS",0.3588,2475.33333333333
"MGxANTI_ESTROGENS","MG","ANTI_ESTROGENS",0.5045,1978
"MGxCEREBACC","MG","CEREBACC",0.6633,1368.33333333333
"MGxCHF","MG","CHF",0.8491,1129.66666666667
"MGxDVT","MG","DVT",0.6801,1653.33333333333
"MGxDIAB","MG","DIAB",0.6244,2395.66666666667
"MGxMI","MG","MI",0.3862,2484.33333333333
"MGxPULMEMB","MG","PULMEMB",0.8226,1570
"MGxSPINCOMP","MG","SPINCOMP",0.7055,1534.33333333333
"MGxCOPD","MG","COPD",0.5446,2780
"MGxMHBLOOD","MG","MHBLOOD",0.84,2080.33333333333
"MGxMHCARD","MG","MHCARD",0.6128,1762.33333333333
"MGxMHCONGEN","MG","MHCONGEN",0.5393,1589.66666666667
"MGxMHEAR","MG","MHEAR",0.6226,2656.66666666667
"MGxMHENDO","MG","MHENDO",0.7144,1816.5
"MGxMHGASTRO","MG","MHGASTRO",0.7207,2122.66666666667
"MGxMHHEPATO","MG","MHHEPATO",0.2182,3167.33333333333
"MGxMHIMMUNE","MG","MHIMMUNE",0.8808,1687.33333333333
"MGxMHINFECT","MG","MHINFECT",0.6293,2314.66666666667
"MGxMHINJURY","MG","MHINJURY",0.5153,2433.33333333333
"MGxMHINVEST","MG","MHINVEST",0.5058,1574.5
"MGxMHMETAB","MG","MHMETAB",0.7379,2069
"MGxMHPSYCH","MG","MHPSYCH",0.1323,3040.66666666667
"MGxMHRENAL","MG","MHRENAL",0.3671,2858
"MGxMHRESP","MG","MHRESP",0.7566,2793
"MGxMHSKIN","MG","MHSKIN",0.6889,2148
"MGxMHVASC","MG","MHVASC",0.1096,2359
"MGxECOG_C","MG","ECOG_C",0.0726,3113
"MGxRaceAsian","MG","RaceAsian",0.6044,1821
"MGxRaceBlack","MG","RaceBlack",0.7254,2389.33333333333
"MGxRaceOther","MG","RaceOther",0.4967,1679.5
"MGxRaceWhite","MG","RaceWhite",0.6727,1553.66666666667
"MGxRegionAsia","MG","RegionAsia",1,445.166666666667
"MGxRegionEastEuro","MG","RegionEastEuro",0.5603,1702.66666666667
"MGxRegionNorthAmer","MG","RegionNorthAmer",0.529,2502
"MGxRegionSouthAmer","MG","RegionSouthAmer",0.594,1941.66666666667
"MGxRegionWestEuro","MG","RegionWestEuro",0.7059,2075.33333333333
"PHOSxTARGET","PHOS","TARGET",0.0583,3052
"PHOSxLYMPH_NODES","PHOS","LYMPH_NODES",0.0926,3054.66666666667
"PHOSxKIDNEYS","PHOS","KIDNEYS",0.6402,2283.66666666667
"PHOSxLUNGS","PHOS","LUNGS",0.6837,2977
"PHOSxLIVER","PHOS","LIVER",0.5167,1807.5
"PHOSxPLEURA","PHOS","PLEURA",0.4148,3012.33333333333
"PHOSxOTHER","PHOS","OTHER",0.7164,1595.33333333333
"PHOSxPROSTATE","PHOS","PROSTATE",0.0372,2461.66666666667
"PHOSxORCHIDECTOMY","PHOS","ORCHIDECTOMY",0.519,1446
"PHOSxPROSTATECTOMY","PHOS","PROSTATECTOMY",0.5541,2434.33333333333
"PHOSxLYMPHADENECTOMY","PHOS","LYMPHADENECTOMY",0.4856,1729
"PHOSxBILATERAL_ORCHIDECTOMY","PHOS","BILATERAL_ORCHIDECTOMY",0.4648,1711.66666666667
"PHOSxPRIOR_RADIOTHERAPY","PHOS","PRIOR_RADIOTHERAPY",0.5919,919.5
"PHOSxANALGESICS","PHOS","ANALGESICS",0.6104,1415.66666666667
"PHOSxANTI_ANDROGENS","PHOS","ANTI_ANDROGENS",0.1872,2167.33333333333
"PHOSxGLUCOCORTICOID","PHOS","GLUCOCORTICOID",0.2088,2844
"PHOSxGONADOTROPIN","PHOS","GONADOTROPIN",0.4742,2253.33333333333
"PHOSxBISPHOSPHONATE","PHOS","BISPHOSPHONATE",0.0428,2849
"PHOSxCORTICOSTEROID","PHOS","CORTICOSTEROID",0.3086,2245
"PHOSxIMIDAZOLE","PHOS","IMIDAZOLE",0.3434,2274.16666666667
"PHOSxACE_INHIBITORS","PHOS","ACE_INHIBITORS",0.5167,2521
"PHOSxBETA_BLOCKING","PHOS","BETA_BLOCKING",0.6691,3174
"PHOSxHMG_COA_REDUCT","PHOS","HMG_COA_REDUCT",0.4258,2314.33333333333
"PHOSxESTROGENS","PHOS","ESTROGENS",0.4452,1882.66666666667
"PHOSxANTI_ESTROGENS","PHOS","ANTI_ESTROGENS",0.4805,2125.66666666667
"PHOSxCEREBACC","PHOS","CEREBACC",0.6731,1900
"PHOSxCHF","PHOS","CHF",0.0712,2363.66666666667
"PHOSxDVT","PHOS","DVT",0.6941,2013.33333333333
"PHOSxDIAB","PHOS","DIAB",0.5839,2501.66666666667
"PHOSxMI","PHOS","MI",0.2178,3093.33333333333
"PHOSxPULMEMB","PHOS","PULMEMB",0.4533,1781.16666666667
"PHOSxSPINCOMP","PHOS","SPINCOMP",0.4431,2219.66666666667
"PHOSxCOPD","PHOS","COPD",0.2189,3182
"PHOSxMHBLOOD","PHOS","MHBLOOD",0.678,2470.66666666667
"PHOSxMHCARD","PHOS","MHCARD",0.5442,2762.66666666667
"PHOSxMHCONGEN","PHOS","MHCONGEN",0.4947,2356.33333333333
"PHOSxMHEAR","PHOS","MHEAR",0.3295,3077
"PHOSxMHENDO","PHOS","MHENDO",0.4943,2618.33333333333
"PHOSxMHGASTRO","PHOS","MHGASTRO",0.5439,1440.66666666667
"PHOSxMHHEPATO","PHOS","MHHEPATO",0.5799,2546
"PHOSxMHIMMUNE","PHOS","MHIMMUNE",0.7285,1535.16666666667
"PHOSxMHINFECT","PHOS","MHINFECT",0.6397,2614
"PHOSxMHINJURY","PHOS","MHINJURY",0.6662,2935
"PHOSxMHINVEST","PHOS","MHINVEST",0.4778,2574
"PHOSxMHMETAB","PHOS","MHMETAB",0.6967,2639.33333333333
"PHOSxMHPSYCH","PHOS","MHPSYCH",0.7518,1049.16666666667
"PHOSxMHRENAL","PHOS","MHRENAL",0.6016,2611.33333333333
"PHOSxMHRESP","PHOS","MHRESP",0.4925,2134.33333333333
"PHOSxMHSKIN","PHOS","MHSKIN",0.5582,1060.83333333333
"PHOSxMHVASC","PHOS","MHVASC",0.2602,1920.33333333333
"PHOSxECOG_C","PHOS","ECOG_C",0.2264,2265
"PHOSxRaceAsian","PHOS","RaceAsian",0.5959,1022
"PHOSxRaceBlack","PHOS","RaceBlack",0.7335,1912.66666666667
"PHOSxRaceOther","PHOS","RaceOther",0.5658,2176.33333333333
"PHOSxRaceWhite","PHOS","RaceWhite",0.1568,1576.83333333333
"PHOSxRegionAsia","PHOS","RegionAsia",1,445.166666666667
"PHOSxRegionEastEuro","PHOS","RegionEastEuro",0.4277,2309
"PHOSxRegionNorthAmer","PHOS","RegionNorthAmer",0.5005,2799
"PHOSxRegionSouthAmer","PHOS","RegionSouthAmer",0.5693,2084.66666666667
"PHOSxRegionWestEuro","PHOS","RegionWestEuro",0.0599,2289.16666666667
"ALBxTARGET","ALB","TARGET",0.0508,2146.66666666667
"ALBxLYMPH_NODES","ALB","LYMPH_NODES",0.4561,1494.66666666667
"ALBxKIDNEYS","ALB","KIDNEYS",0.5992,445.166666666667
"ALBxLUNGS","ALB","LUNGS",0.4718,1502
"ALBxLIVER","ALB","LIVER",0.0014,2984
"ALBxPLEURA","ALB","PLEURA",0.2862,1400
"ALBxOTHER","ALB","OTHER",0.738,1102.33333333333
"ALBxPROSTATE","ALB","PROSTATE",0.6426,1932.33333333333
"ALBxORCHIDECTOMY","ALB","ORCHIDECTOMY",0.7371,1630.5
"ALBxPROSTATECTOMY","ALB","PROSTATECTOMY",0.5009,1264.5
"ALBxLYMPHADENECTOMY","ALB","LYMPHADENECTOMY",0.5837,794.833333333333
"ALBxBILATERAL_ORCHIDECTOMY","ALB","BILATERAL_ORCHIDECTOMY",0.6576,1169.66666666667
"ALBxPRIOR_RADIOTHERAPY","ALB","PRIOR_RADIOTHERAPY",0.6698,2260.66666666667
"ALBxANALGESICS","ALB","ANALGESICS",8e-04,2983.66666666667
"ALBxANTI_ANDROGENS","ALB","ANTI_ANDROGENS",0.5176,1157
"ALBxGLUCOCORTICOID","ALB","GLUCOCORTICOID",0.644,1394.83333333333
"ALBxGONADOTROPIN","ALB","GONADOTROPIN",0.1116,2568.33333333333
"ALBxBISPHOSPHONATE","ALB","BISPHOSPHONATE",0.5847,1723
"ALBxCORTICOSTEROID","ALB","CORTICOSTEROID",0.5312,1973.66666666667
"ALBxIMIDAZOLE","ALB","IMIDAZOLE",0.5289,1359.83333333333
"ALBxACE_INHIBITORS","ALB","ACE_INHIBITORS",0.1013,2149
"ALBxBETA_BLOCKING","ALB","BETA_BLOCKING",0.7006,1744.66666666667
"ALBxHMG_COA_REDUCT","ALB","HMG_COA_REDUCT",0.6897,1843
"ALBxESTROGENS","ALB","ESTROGENS",0.3009,2897
"ALBxANTI_ESTROGENS","ALB","ANTI_ESTROGENS",0.5665,1292
"ALBxCEREBACC","ALB","CEREBACC",0.6643,1427.33333333333
"ALBxCHF","ALB","CHF",0.4725,2512
